segment_id,zone_id,subzone_id,length_m,slope,drop_m,downstream_id,upstream_ids
P2_sub33,P2,P2_sub33,3375.56,0.012576,42.45,P2_sub13,
P2_sub40,P2,P2_sub40,11334.94,0.013192,149.53,P2_sub13,
P2_sub43,P2,P2_sub43,13669.51,0.019382,264.94,P2_sub13,
P2_sub48,P2,P2_sub48,10088.02,0.012144,122.51,P2_sub13,
P2_sub52,P2,P2_sub52,7050.35,0.010709,75.50,P2_sub13,
P2_sub60,P2,P2_sub60,431.19,0.035815,15.44,P2_sub39,
P2_sub13,P2,P2_sub13,9209.63,0.065085,599.41,P2_sub10,P2_sub33;P2_sub40;P2_sub43;P2_sub48;P2_sub52
P2_sub39,P2,P2_sub39,4633.80,0.072524,336.06,P2_sub20,P2_sub60
P2_sub41,P2,P2_sub41,9097.00,0.065616,596.91,P2_sub10,
P2_sub49,P2,P2_sub49,8009.36,0.068581,549.29,P2_sub10,
P2_sub55,P2,P2_sub55,112.63,0.072382,8.15,P2_sub28,
P2_sub59,P2,P2_sub59,656.45,0.142227,93.37,P2_sub27,
P2_sub63,P2,P2_sub63,4952.36,0.071561,354.40,P2_sub10,
P2_sub10,P2,P2_sub10,4548.50,0.062843,285.84,P2_sub8,P2_sub13;P2_sub41;P2_sub49;P2_sub63
P2_sub20,P2,P2_sub20,3666.79,0.048641,178.35,P2_sub8,P2_sub39
P2_sub27,P2,P2_sub27,2738.43,0.047548,130.21,P2_sub8,P2_sub59
P2_sub28,P2,P2_sub28,7943.38,0.043532,345.79,P2_sub16,P2_sub55
P2_sub8,P2,P2_sub8,1293.58,0.048233,62.39,P2_sub7,P2_sub10;P2_sub20;P2_sub27
P2_sub16,P2,P2_sub16,11175.66,0.059317,662.91,P2_sub14,P2_sub28
P2_sub44,P2,P2_sub44,3705.44,0.208148,771.28,P2_sub25,
P2_sub61,P2,P2_sub61,5029.66,0.112653,566.60,P2_sub21,
P2_sub62,P2,P2_sub62,10379.25,0.063869,662.91,P2_sub14,
P2_sub7,P2,P2_sub7,9077.67,0.080081,726.95,P2_sub6,P2_sub8
P2_sub14,P2,P2_sub14,10118.66,0.077606,785.27,P2_sub6,P2_sub16;P2_sub62
P2_sub21,P2,P2_sub21,3958.03,0.074331,294.20,P2_sub15,P2_sub61
P2_sub25,P2,P2_sub25,6910.39,0.102510,708.39,P2_sub6,P2_sub44
P2_sub32,P2,P2_sub32,4537.18,0.203939,925.31,P2_sub24,
P2_sub35,P2,P2_sub35,5721.44,0.092578,529.68,P2_sub15,
P2_sub51,P2,P2_sub51,9360.90,0.073327,686.40,P2_sub22,
P2_sub54,P2,P2_sub54,4762.44,0.139940,666.46,P2_sub6,
P2_sub58,P2,P2_sub58,2963.69,0.080418,238.33,P2_sub22,
P2_sub6,P2,P2_sub6,2062.66,0.045547,93.95,P2_sub5,P2_sub7;P2_sub14;P2_sub25;P2_sub54
P2_sub15,P2,P2_sub15,609.80,0.012903,7.87,P2_sub11,P2_sub21;P2_sub35
P2_sub22,P2,P2_sub22,5806.74,0.112006,650.39,P2_sub5,P2_sub51;P2_sub58
P2_sub24,P2,P2_sub24,543.82,0.005824,3.17,P2_sub17,P2_sub32
P2_sub31,P2,P2_sub31,5286.93,0.051828,274.01,P2_sub11,
P2_sub34,P2,P2_sub34,112.63,0.003971,0.45,P2_sub30,
P2_sub36,P2,P2_sub36,5784.10,0.115058,665.51,P2_sub19,
P2_sub38,P2,P2_sub38,1359.55,0.013370,18.18,P2_sub29,
P2_sub46,P2,P2_sub46,4630.48,0.057050,264.17,P2_sub11,
P2_sub53,P2,P2_sub53,3468.86,0.113691,394.38,P2_sub19,
P2_sub56,P2,P2_sub56,1790.75,0.032853,58.83,P2_sub5,
P2_sub5,P2,P2_sub5,1996.68,0.011295,22.55,P2_sub4,P2_sub6;P2_sub22;P2_sub56
P2_sub11,P2,P2_sub11,11862.76,0.088036,1044.35,P2_sub4,P2_sub15;P2_sub31;P2_sub46
P2_sub17,P2,P2_sub17,5372.24,0.000235,1.26,P2_sub12,P2_sub24
P2_sub19,P2,P2_sub19,1942.02,0.325027,631.21,P2_sub18,P2_sub36;P2_sub53
P2_sub26,P2,P2_sub26,225.26,0.132968,29.95,P2_sub23,
P2_sub29,P2,P2_sub29,5710.12,0.097590,557.25,P2_sub4,P2_sub38
P2_sub30,P2,P2_sub30,2672.45,0.000220,0.59,P2_sub12,P2_sub34
P2_sub45,P2,P2_sub45,10887.74,0.095148,1035.94,P2_sub4,
P2_sub47,P2,P2_sub47,4397.22,0.000244,1.07,P2_sub12,
P3_sub33,P3,P3_sub33,2540.50,0.095477,242.56,P3_sub28,
P2_sub4,P2,P2_sub4,881.71,0.027544,24.29,P2_sub3,P2_sub5;P2_sub11;P2_sub29;P2_sub45
P2_sub12,P2,P2_sub12,3779.42,0.029029,109.71,P2_sub9,P2_sub17;P2_sub30;P2_sub47
