zone_id,subzone_id,area_cells,area_km2,mean_elevation,max_accumulation,pour_row,pour_col,seed_accumulation,seed_threshold,downstream_subzone_id
P2,P2_sub33,1000,12.685303,8512.11,1135.00,691,232,1135.00,1000.000,P2_sub13
P2,P2_sub40,1000,12.685303,9218.38,749.00,743,240,749.00,1000.000,P2_sub13
P2,P2_sub43,1000,12.685303,8928.66,657.00,761,236,657.00,1000.000,P2_sub13
P2,P2_sub48,1000,12.685303,8795.44,554.00,738,229,554.00,1000.000,P2_sub13
P2,P2_sub52,1000,12.685303,8649.75,416.00,716,219,416.00,1000.000,P2_sub13
P2,P2_sub60,1000,12.685303,8159.23,202.00,622,188,202.00,1000.000,P2_sub39
P2,P2_sub13,1000,12.685303,8691.59,6852.00,673,219,6852.00,1000.000,P2_sub10
P2,P2_sub39,1000,12.685303,8811.76,785.00,624,191,785.00,1000.000,P2_sub20
P2,P2_sub41,1000,12.685303,8406.22,743.00,672,217,743.00,1000.000,P2_sub10
P2,P2_sub49,1000,12.685303,8622.71,498.00,664,221,498.00,1000.000,P2_sub10
P2,P2_sub55,1000,12.685303,8600.36,358.00,704,259,358.00,1000.000,P2_sub28
P2,P2_sub59,1000,12.685303,7996.28,228.00,591,208,228.00,1000.000,P2_sub27
P2,P2_sub63,1000,12.685303,8205.45,171.00,644,214,171.00,1000.000,P2_sub10
P2,P2_sub10,1000,12.685303,8284.71,10043.00,607,216,10043.00,1000.000,P2_sub8
P2,P2_sub20,1000,12.685303,8377.08,2735.00,601,211,2735.00,1000.000,P2_sub8
P2,P2_sub27,1000,12.685303,8418.44,1376.00,593,213,1376.00,1000.000,P2_sub8
P2,P2_sub28,1000,12.685303,9173.43,1356.00,703,259,1356.00,1000.000,P2_sub16
P2,P2_sub8,1000,12.685303,7862.15,15169.00,575,224,15169.00,1000.000,P2_sub7
P2,P2_sub16,1000,12.685303,8719.02,3521.00,647,265,3521.00,1000.000,P2_sub14
P2,P2_sub44,1000,12.685303,8532.27,651.00,544,204,651.00,1000.000,P2_sub25
P2,P2_sub61,1000,12.685303,8873.53,192.00,635,301,192.00,1000.000,P2_sub21
P2,P2_sub62,1000,12.685303,8318.39,189.00,641,269,189.00,1000.000,P2_sub14
P2,P2_sub7,1000,12.685303,7831.66,16555.00,566,230,16555.00,1000.000,P2_sub6
P2,P2_sub14,1000,12.685303,8106.28,5642.00,573,234,5642.00,1000.000,P2_sub6
P2,P2_sub21,1000,12.685303,8934.65,2300.00,592,303,2300.00,1000.000,P2_sub15
P2,P2_sub25,1000,12.685303,7872.19,1768.00,548,233,1768.00,1000.000,P2_sub6
P2,P2_sub32,1000,12.685303,9233.92,1222.00,517,448,1222.00,1000.000,P2_sub24
P2,P2_sub35,1000,12.685303,8540.43,1056.00,606,307,1056.00,1000.000,P2_sub15
P2,P2_sub51,1000,12.685303,7953.79,447.00,609,279,447.00,1000.000,P2_sub22
P2,P2_sub54,1000,12.685303,7874.89,391.00,533,238,391.00,1000.000,P2_sub6
P2,P2_sub58,1000,12.685303,7488.20,271.00,561,268,271.00,1000.000,P2_sub22
P2,P2_sub6,1000,12.685303,7329.20,26602.00,506,265,26602.00,1000.000,P2_sub5
P2,P2_sub15,1000,12.685303,7995.98,4514.00,561,313,4514.00,1000.000,P2_sub11
P2,P2_sub22,1000,12.685303,7636.38,2228.00,538,270,2228.00,1000.000,P2_sub5
P2,P2_sub24,1000,12.685303,8255.92,1804.00,544,423,1804.00,1000.000,P2_sub17
P2,P2_sub31,1000,12.685303,8372.41,1229.00,586,341,1229.00,1000.000,P2_sub11
P2,P2_sub34,1000,12.685303,8665.75,1119.00,527,402,1119.00,1000.000,P2_sub30
P2,P2_sub36,1000,12.685303,8436.71,1037.00,480,226,1037.00,1000.000,P2_sub19
P2,P2_sub38,1000,12.685303,7954.56,900.00,514,303,900.00,1000.000,P2_sub29
P2,P2_sub46,1000,12.685303,8345.83,616.00,582,336,616.00,1000.000,P2_sub11
P2,P2_sub53,1000,12.685303,7836.12,411.00,467,242,411.00,1000.000,P2_sub19
P2,P2_sub56,1000,12.685303,7596.55,321.00,504,266,321.00,1000.000,P2_sub5
P2,P2_sub5,1000,12.685303,7097.51,31027.00,492,272,31027.00,1000.000,P2_sub4
P2,P2_sub11,1000,12.685303,8077.03,7614.00,556,312,7614.00,1000.000,P2_sub4
P2,P2_sub17,1000,12.685303,8151.53,3337.00,541,420,3337.00,1000.000,P2_sub12
P2,P2_sub19,1000,12.685303,7931.25,2802.00,469,267,2802.00,1000.000,P2_sub18
P2,P2_sub26,1000,12.685303,8605.37,1760.00,509,372,1760.00,1000.000,P2_sub23
P2,P2_sub29,1000,12.685303,7524.17,1319.00,511,293,1319.00,1000.000,P2_sub4
P2,P2_sub30,1000,12.685303,8569.90,1289.00,528,402,1289.00,1000.000,P2_sub12
P2,P2_sub45,1000,12.685303,7916.06,636.00,549,306,636.00,1000.000,P2_sub4
P2,P2_sub47,1000,12.685303,8621.22,606.00,536,414,606.00,1000.000,P2_sub12
P3,P3_sub33,1000,12.685303,8288.46,786.00,278,121,786.00,1000.000,P3_sub28
P2,P2_sub4,1000,12.685303,7322.41,42516.00,478,281,42516.00,1000.000,P2_sub3
P2,P2_sub12,1000,12.685303,8401.31,7525.00,522,383,7525.00,1000.000,P2_sub9
P2,P2_sub18,1000,12.685303,7129.39,3124.00,471,282,3124.00,1000.000,P2_sub3
P2,P2_sub23,1000,12.685303,8081.23,1810.00,511,372,1810.00,1000.000,P2_sub9
P2,P2_sub42,1000,12.685303,8355.57,692.00,509,361,692.00,1000.000,P2_sub9
P3,P3_sub28,1000,12.685303,8041.06,1501.00,292,136,1501.00,1000.000,P3_sub23
P3,P3_sub48,1000,12.685303,7938.84,253.00,292,140,253.00,1000.000,P3_sub23
P2,P2_sub3,1000,12.685303,7751.03,45834.00,471,283,45834.00,1000.000,P2_sub2
P2,P2_sub9,1000,12.685303,8156.76,11582.00,511,356,11582.00,1000.000,P2_sub2
P2,P2_sub50,1000,12.685303,8234.39,490.00,507,329,490.00,1000.000,P2_sub2
P2,P2_sub57,874,11.086955,7503.47,321.00,451,315,321.00,1000.000,P2_sub37
P3,P3_sub23,1000,12.685303,8294.85,3242.00,293,140,3242.00,1000.000,P3_sub21
P3,P3_sub42,1000,12.685303,8073.18,438.00,297,170,438.00,1000.000,P3_sub21
P2,P2_sub2,1000,12.685303,7405.23,59794.00,471,284,59794.00,1000.000,P2_sub1
P2,P2_sub37,1000,12.685303,7684.48,1021.00,452,290,1021.00,1000.000,P2_sub1
P3,P3_sub21,1000,12.685303,8225.64,5807.00,300,172,5807.00,1000.000,P3_sub19
P3,P3_sub46,1000,12.685303,7005.17,349.00,420,310,349.00,1000.000,P3_sub36
P2,P2_sub1,1000,12.685303,7037.58,62874.00,442,289,62874.00,1000.000,P3_sub10
P3,P3_sub19,1000,12.685303,7969.58,6842.00,303,175,6842.00,1000.000,P3_sub17
P3,P3_sub31,1000,12.685303,7289.98,936.00,422,292,936.00,1000.000,P3_sub10
P3,P3_sub36,1000,12.685303,6995.32,661.00,410,296,661.00,1000.000,P3_sub10
P3,P3_sub51,1000,12.685303,6603.89,121.00,333,257,121.00,1000.000,P3_sub40
P3,P3_sub10,1000,12.685303,7375.35,65800.00,405,293,65800.00,1000.000,P3_sub9
P3,P3_sub17,1000,12.685303,7809.30,7831.00,317,198,7831.00,1000.000,P3_sub16
P3,P3_sub37,1000,12.685303,6728.99,635.00,236,268,635.00,1000.000,P3_sub26
P3,P3_sub40,1000,12.685303,7719.31,502.00,317,206,502.00,1000.000,P3_sub16
P3,P3_sub47,1000,12.685303,7507.77,288.00,226,238,288.00,1000.000,P3_sub24
P3,P3_sub9,1000,12.685303,7553.95,67498.00,391,297,67498.00,1000.000,P3_sub8
P3,P3_sub16,1000,12.685303,7731.83,9737.00,331,220,9737.00,1000.000,P3_sub13
P3,P3_sub24,1000,12.685303,7646.41,2110.00,228,274,2110.00,1000.000,P3_sub20
P3,P3_sub26,1000,12.685303,6823.34,1792.00,236,269,1792.00,1000.000,P3_sub20
P3,P3_sub41,1000,12.685303,7263.41,469.00,277,230,469.00,1000.000,P3_sub29
P3,P3_sub43,1000,12.685303,6703.00,405.00,209,289,405.00,1000.000,P3_sub20
P3,P3_sub8,1000,12.685303,7300.91,68419.00,385,300,68419.00,1000.000,P3_sub7
P3,P3_sub13,1000,12.685303,7455.70,11288.00,331,274,11288.00,1000.000,P3_sub12
P3,P3_sub20,1000,12.685303,6548.55,5853.00,212,309,5853.00,1000.000,P3_sub18
P3,P3_sub29,1000,12.685303,7132.20,1186.00,284,258,1186.00,1000.000,P3_sub25
P3,P3_sub39,1000,12.685303,6969.44,523.00,373,305,523.00,1000.000,P3_sub7
P3,P3_sub45,1000,12.685303,6691.28,368.00,369,301,368.00,1000.000,P3_sub7
P3,P3_sub7,1000,12.685303,7584.96,71517.00,362,304,71517.00,1000.000,P3_sub6
P3,P3_sub12,1000,12.685303,6598.60,11877.00,325,301,11877.00,1000.000,P3_sub6
P3,P3_sub18,1000,12.685303,6477.19,6890.00,220,324,6890.00,1000.000,P3_sub15
P3,P3_sub25,1000,12.685303,6871.78,1943.00,298,273,1943.00,1000.000,P3_sub22
P3,P3_sub30,1000,12.685303,6612.12,966.00,188,336,966.00,1000.000,P3_sub15
P3,P3_sub34,1000,12.685303,6603.93,763.00,199,325,763.00,1000.000,P3_sub15
P3,P3_sub35,1000,12.685303,6758.00,697.00,345,298,697.00,1000.000,P3_sub6
P3,P3_sub6,1000,12.685303,6724.30,86887.00,304,297,86887.00,1000.000,P3_sub5
P3,P3_sub15,1000,12.685303,6442.49,9955.00,234,330,9955.00,1000.000,P3_sub14
P3,P3_sub22,1000,12.685303,6814.19,3749.00,297,298,3749.00,1000.000,P3_sub5
P3,P3_sub44,1000,12.685303,6438.69,371.00,288,303,371.00,1000.000,P3_sub5
P3,P3_sub5,1000,12.685303,6363.72,92648.00,276,319,92648.00,1000.000,P3_sub4
P3,P3_sub14,1000,12.685303,6496.38,10854.00,236,331,10854.00,1000.000,P3_sub11
P3,P3_sub32,1000,12.685303,6463.73,819.00,236,330,819.00,1000.000,P3_sub11
P3,P3_sub38,1000,12.685303,6594.12,572.00,304,337,572.00,1000.000,P3_sub27
P3,P3_sub4,1000,12.685303,6302.50,94394.00,254,356,94394.00,1000.000,P3_sub3
P3,P3_sub11,1000,12.685303,6320.45,12882.00,251,363,12882.00,1000.000,P3_sub3
P3,P3_sub27,1000,12.685303,6517.84,1647.00,284,341,1647.00,1000.000,P3_sub3
P3,P3_sub49,1000,12.685303,6408.40,148.00,247,368,148.00,1000.000,P3_sub3
P3,P3_sub3,1000,12.685303,6351.49,110500.00,248,369,110500.00,1000.000,P3_sub2
P3,P3_sub50,618,7.839517,6342.58,122.00,233,392,122.00,1000.000,P3_sub2
P1,P1_sub10,1000,12.685303,8553.91,317.00,851,204,317.00,1000.000,P1_sub4
P3,P3_sub2,1000,12.685303,6339.50,112222.00,228,401,112222.00,1000.000,P3_sub1
P4,P4_sub8,1000,12.685303,6479.94,393.00,189,410,393.00,1000.000,P4_sub4
P1,P1_sub4,1000,12.685303,8513.87,1830.00,840,211,1830.00,1000.000,P1_sub3
P3,P3_sub1,1000,12.685303,6341.43,113492.00,192,417,113492.00,1000.000,P4_sub3
P4,P4_sub4,1000,12.685303,6433.29,2215.00,154,430,2215.00,1000.000,P4_sub3
P1,P1_sub3,1000,12.685303,8698.64,1979.00,831,214,1979.00,1000.000,P1_sub2
P1,P1_sub5,1000,12.685303,8580.78,1343.00,822,213,1343.00,1000.000,P1_sub2
P1,P1_sub6,1000,12.685303,8707.52,902.00,821,212,902.00,1000.000,P1_sub2
P1,P1_sub8,1000,12.685303,8412.33,542.00,803,196,542.00,1000.000,P1_sub2
P1,P1_sub9,863,10.947417,8545.69,455.00,782,189,455.00,1000.000,P1_sub7
P4,P4_sub3,1000,12.685303,6351.89,116886.00,155,431,116886.00,1000.000,P4_sub2
P4,P4_sub7,1000,12.685303,6345.22,616.00,147,397,616.00,1000.000,P4_sub5
P4,P4_sub10,1000,12.685303,6279.76,253.00,132,434,253.00,1000.000,P4_sub2
P1,P1_sub2,1000,12.685303,8445.36,7493.00,806,181,7493.00,1000.000,P1_sub1
P1,P1_sub7,1000,12.685303,8391.34,656.00,805,174,656.00,1000.000,P1_sub1
P4,P4_sub2,1000,12.685303,6267.70,118159.00,110,446,118159.00,1000.000,P4_sub1
P4,P4_sub5,1000,12.685303,6276.52,1719.00,99,437,1719.00,1000.000,P4_sub1
P4,P4_sub6,1000,12.685303,6238.55,619.00,64,437,619.00,1000.000,P4_sub1
P4,P4_sub9,454,5.759128,6231.19,300.00,48,432,300.00,1000.000,P4_sub1
P1,P1_sub1,1000,12.685303,8253.71,9863.00,795,153,9863.00,1000.000,
P4,P4_sub1,1000,12.685303,6261.42,122946.00,18,416,122946.00,1000.000,
