id,x,y
S001,-6698974.841682196,6587383.415988625
S002,-6707320.190228164,6599715.819424363
S003,-6700571.911640003,6596203.641170875
S004,-6703032.76074071,6582520.712700881
S005,-6698315.895450303,6591812.929160648
S006,-6704476.347984181,6585811.404815177
S007,-6714086.438282544,6573425.082603412
S008,-6720130.363293089,6583225.50006908
S009,-6718404.426766367,6589871.6454661535
S010,-6714663.078192915,6595447.990615431
S011,-6709980.876423809,6577632.92266601
S012,-6707631.979239493,6594492.242225404
S013,-6715547.038218635,6576809.861609111
S014,-6710297.093354979,6571722.746499214
S015,-6708438.740799025,6589701.711430421
S016,-6709893.674089036,6593669.291109889
S017,-6714275.781870579,6586410.990477762
S018,-6691428.310823913,6596579.972013216
S019,-6693868.423699546,6600949.432980358
S020,-6692225.023371719,6597806.252542897
S021,-6694011.020932661,6594095.0049947
S022,-6700293.335951436,6599416.904196316
S023,-6694062.464450986,6601230.410301106
S024,-6691525.034233151,6595617.935928598
S025,-6703170.220033102,6603251.20870702
S026,-6706050.5310447235,6612285.632385469
S027,-6723963.41389499,6619467.822080836
S028,-6719275.027295125,6617444.74788329
S029,-6717380.173526849,6600821.140479277
S030,-6725041.43497927,6627603.809478464
S031,-6725720.652165008,6625787.292884772
S032,-6714427.5053307,6604335.398602074
S033,-6723194.773574466,6624378.442361107
S034,-6715171.71607005,6617353.646674177
S035,-6710395.188337629,6618044.0932806255
S036,-6711066.439666998,6626770.041573769
S037,-6705662.589412754,6629960.6408584025
S038,-6707693.396698479,6632228.675346945
S039,-6697987.80080969,6633506.220842109
S040,-6707976.688677469,6628700.864659686
S041,-6711029.70154149,6632701.171918645
S042,-6691428.6355561735,6649650.606286291
S043,-6691318.327867374,6646254.514887323
S044,-6689366.634608791,6643950.383050055
S045,-6689394.537004142,6649545.754571553
S046,-6701123.901801657,6627235.230907761
S047,-6693140.400923948,6640591.476404727
S048,-6712652.694048052,6621955.785190982
S049,-6701695.247445103,6620589.348545467
S050,-6695592.335276876,6637479.894271774
