parameter,value,runoff_coefficient,total_runoff_mm
field_capacity,50.0,0.6500970726047849,747.2314316657038
field_capacity,100.0,0.6288923605651394,722.8584141531701
field_capacity,150.0,0.6078958774082168,698.7247380754898
field_capacity,200.0,0.5866932542134928,674.3541215129788
field_capacity,250.0,0.5653608216181614,649.834300057311
field_capacity,300.0,0.5442164498861436,625.5306386092111
field_capacity,350.0,0.5238219867410455,602.0889334606178
field_capacity,400.0,0.5041344882101076,579.4598241581482
field_capacity,450.0,0.48478524683917484,557.2195127638573
field_capacity,500.0,0.4659341909310158,535.5518232936921
beta,1.0,0.5840180432011502,671.2791934153163
beta,1.4444444444444444,0.5843552312259982,671.6667624433356
beta,1.8888888888888888,0.5862197653075928,673.8098861857593
beta,2.333333333333333,0.5879642654263814,675.8150410714449
beta,2.7777777777777777,0.5893784411513908,677.4405160907243
beta,3.2222222222222223,0.5912931437520029,679.641304289534
beta,3.6666666666666665,0.5932633173870085,681.9058517362971
beta,4.111111111111111,0.594935104743349,683.8274294703939
beta,4.555555555555555,0.5963756870586244,685.4832566248871
beta,5.0,0.5976392302986763,686.9355923821494
k0,0.01,0.4126483229353113,474.3042387284468
k0,0.03111111111111111,0.5406899535076815,621.477230205011
k0,0.052222222222222225,0.5901517892713664,678.3294141449023
k0,0.07333333333333333,0.6121168531718315,703.5763916142982
k0,0.09444444444444444,0.623009785387397,716.0968930555081
k0,0.11555555555555555,0.6290284677641236,723.0148578312649
k0,0.1366666666666667,0.6327240779338683,727.2626481911755
k0,0.1577777777777778,0.6352184611827358,730.1297301158888
k0,0.1788888888888889,0.6371953441296464,732.4019893474782
k0,0.2,0.6392178441230582,734.7266815039367
k1,0.001,0.5691553558111612,654.1957951893825
k1,0.0064444444444444445,0.5805020062179269,667.2378071985831
k1,0.01188888888888889,0.5896515565809541,677.75443910629
k1,0.017333333333333333,0.5970857215647718,686.299381051405
k1,0.02277777777777778,0.6031704088421546,693.293212860706
k1,0.028222222222222225,0.6081863412572153,699.0586016273814
k1,0.033666666666666664,0.6123506818374662,703.8451578277602
k1,0.03911111111111111,0.6158326134122498,707.8473427709454
k1,0.04455555555555556,0.6187647504172407,711.2175854999282
k1,0.05,0.6212516126636147,714.0760226703462
k2,0.0001,0.5663425586728414,650.9627235125168
k2,0.0012000000000000001,0.5909515774557086,679.2487028099333
k2,0.0023,0.6128023426522017,704.3643036160497
k2,0.0034,0.6322391151078905,726.7052245662574
k2,0.0045000000000000005,0.6495606681866762,746.6148802948613
k2,0.005600000000000001,0.6650265084794392,764.3915516119156
k2,0.0067,0.6788622265959964,780.2945357846241
k2,0.0078000000000000005,0.6912641015363862,794.5494388715056
k2,0.0089,0.7024030644233444,807.3527316965957
k2,0.01,0.7124281122227019,818.8756736314305
