segment_id,zone_id,subzone_id,length_m,slope,drop_m,downstream_id,upstream_ids
222,2,222,2785.08,0.018788,52.33,217.0,
231,2,231,722.43,0.008211,5.93,225.0,
236,2,236,431.19,0.035815,15.44,218.0,
216,2,216,15366.95,0.020853,320.45,207.0,
217,2,217,6432.55,0.029323,188.62,207.0,41
218,2,218,1491.51,0.070085,104.53,214.0,55
219,2,219,14391.94,0.020546,295.7,207.0,
220,2,220,2944.36,0.048793,143.66,207.0,
223,2,223,13145.01,0.02044,268.68,207.0,
225,2,225,1856.72,0.051727,96.04,207.0,50
226,2,226,14663.85,0.020551,301.35,207.0,
227,2,227,10107.34,0.021931,221.67,207.0,
207,2,207,3010.34,0.075592,227.56,206.0,35;36;38;39;42;44;45;46
214,2,214,3142.29,0.073682,231.53,210.0,37
229,2,229,2812.41,0.104236,293.15,215.0,
230,2,230,1200.27,0.036001,43.21,212.0,
112,1,112,8051.32,0.112915,909.12,105.0,
114,1,114,5029.66,0.112653,566.6,105.0,
206,2,206,7690.79,0.066512,511.53,205.0,26
210,2,210,3666.79,0.048641,178.35,205.0,33
212,2,212,7015.02,0.044295,310.73,209.0,49
215,2,215,2738.43,0.047548,130.21,205.0,48
237,2,237,6086.66,0.047455,288.84,209.0,
316,3,316,5644.15,0.15897,897.25,307.0,
105,1,105,3282.25,0.08464,277.81,104.0,21;23
108,1,108,5045.67,0.101728,513.28,104.0,
421,4,421,2540.5,0.095477,242.56,416.0,
205,2,205,1293.58,0.048233,62.39,204.0,25;29;34
209,2,209,11016.38,0.060175,662.91,208.0,31;56
221,2,221,3705.44,0.208148,771.28,213.0,
234,2,234,1472.18,0.147685,217.42,213.0,
235,2,235,271.91,0.007653,2.08,204.0,
238,2,238,10379.25,0.063869,662.91,208.0,
239,2,239,5624.82,0.064966,365.42,208.0,
307,3,307,2540.5,0.18968,481.88,306.0,45
317,3,317,6001.36,0.18591,1115.71,308.0,
104,1,104,675.77,0.024262,16.4,103.0,14;17
416,4,416,497.17,0.030972,15.4,414.0,60
419,4,419,450.52,0.025416,11.45,414.0,
436,4,436,112.63,0.111136,12.52,414.0,
204,2,204,6583.83,0.062169,409.31,203.0,24;54
208,2,208,7624.82,0.061331,467.64,203.0,28;57;58
213,2,213,4416.55,0.088474,390.75,203.0,40;53
228,2,228,2268.59,0.153762,348.82,203.0,
306,3,306,3628.14,0.000939,3.41,304.0,36
308,3,308,384.54,-0.001125,-0.43,304.0,46
309,3,309,4350.57,0.00079,3.44,304.0,
312,3,312,2109.31,2.5e-05,0.05,304.0,
313,3,313,1087.64,-6.1e-05,-0.07,304.0,
103,1,103,609.8,0.012903,7.87,102.0,13
107,1,107,5286.93,0.051828,274.01,102.0,
110,1,110,4630.48,0.05705,264.17,102.0,
111,1,111,4979.69,0.104293,519.34,106.0,
113,1,113,1359.55,0.002325,3.16,109.0,
414,4,414,4276.59,0.035294,150.94,413.0,55;58;75
427,4,427,225.26,0.010429,2.35,417.0,
429,4,429,590.47,-0.000654,-0.39,413.0,
430,4,430,637.13,-0.000606,-0.39,413.0,
203,2,203,2493.85,0.127367,317.63,202.0,23;27;32;47
224,2,224,8094.66,0.074553,603.48,211.0,
233,2,233,2963.69,0.080418,238.33,211.0,
304,3,304,2672.45,0.000427,1.14,303.0,35;37;38;41;42
310,3,310,4509.85,0.09361,422.17,305.0,
314,3,314,749.76,0.206471,154.8,311.0,
102,1,102,9866.08,0.103291,1019.07,101.0,12;16;19
106,1,106,3713.44,0.143256,531.97,101.0,20
109,1,109,8891.06,0.113672,1010.67,101.0,22
413,4,413,318.56,-0.002607,-0.83,412.0,53;68;69
417,4,417,5784.1,0.115058,665.51,415.0,66
202,2,202,2221.94,0.042155,93.67,201.0,22
211,2,211,5966.02,0.108969,650.11,201.0,43;52
232,2,232,1950.03,0.030025,58.55,201.0,
240,2,240,975.01,0.00957,9.33,201.0,
303,3,303,5383.55,0.036135,194.54,302.0,33
305,3,305,3977.35,0.049167,195.56,302.0,39
311,3,311,2711.1,0.051526,139.69,302.0,43
101,1,101,159.28,0.015349,2.44,201.0,11;15;18
412,4,412,1977.35,0.000615,1.22,411.0,52
415,4,415,77486.51,0.011106,860.58,406.0,56
201,2,201,1087.64,0.006204,6.75,406.0,21;30;51;59;10
302,3,302,9404.24,0.111273,1046.44,301.0,32;34;40
315,3,315,7885.41,0.119701,943.89,301.0,
318,3,318,881.71,0.039572,34.89,301.0,
406,4,406,3919.38,0.015158,59.41,405.0,54;20
411,4,411,3779.42,0.0,0.0,410.0,51
426,4,426,1452.86,0.0,0.0,410.0,
433,4,433,3048.99,0.266178,811.57,418.0,
434,4,434,6086.66,0.160382,976.19,420.0,
437,4,437,1538.16,0.009082,13.97,405.0,
438,4,438,2559.82,0.141686,362.69,423.0,
301,3,301,2334.57,0.009608,22.43,405.0,31;44;47
405,4,405,6583.83,0.00788,51.88,404.0,45;76;30
410,4,410,3740.77,0.0,0.0,409.0,50;65
418,4,418,6311.92,0.008938,56.42,404.0,72
420,4,420,2307.24,0.011776,27.17,404.0,73
423,4,423,769.08,0.015808,12.16,404.0,77
404,4,404,2016.0,0.005026,10.13,403.0,44;57;59;62
409,4,409,6479.2,0.144485,936.14,408.0,49
432,4,432,7586.17,0.159881,1212.89,403.0,
435,4,435,1922.7,0.040543,77.95,408.0,
623,6,623,4237.94,0.174814,740.85,620.0,
403,4,403,815.73,-0.000646,-0.53,402.0,43;71
408,4,408,3056.99,0.049844,152.37,407.0,48;74
428,4,428,928.36,0.02747,25.5,422.0,
620,6,620,2474.52,0.029108,72.03,615.0,82
402,4,402,8607.83,0.006151,52.95,401.0,42
407,4,407,112.63,0.031782,3.58,401.0,47
422,4,422,2625.8,0.007085,18.6,401.0,67
424,4,424,13439.56,0.073752,991.2,401.0,
425,4,425,6770.44,0.00579,39.2,401.0,
431,4,431,6226.62,0.00662,41.22,401.0,
509,5,509,7380.23,0.131241,968.59,506.0,
512,5,512,112.63,0.032363,3.65,507.0,
515,5,515,4521.17,0.151271,683.92,506.0,
615,6,615,3328.9,0.042021,139.88,613.0,79
624,6,624,5690.8,0.042041,239.25,613.0,
401,4,401,112.63,-0.004279,-0.48,612.0,41;46;61;63;64;70
506,5,506,5484.86,0.018345,100.62,505.0,58;64
507,5,507,6553.18,0.019361,126.88,505.0,61
516,5,516,4463.2,0.016098,71.85,505.0,
