zone_id,subzone_id,area_cells,area_km2,mean_elevation,max_accumulation,pour_row,pour_col,seed_accumulation,seed_threshold,downstream_subzone_id
2,222,789,10.008704,8456.49,588.0,704,241,588.0,,217.0
2,231,789,10.008704,8291.31,323.0,663,227,323.0,,225.0
2,236,789,10.008704,8333.48,202.0,622,188,202.0,,218.0
2,216,789,10.008704,9113.64,1226.0,751,241,1226.0,,207.0
2,217,789,10.008704,8605.18,1135.0,691,232,1135.0,,207.0
2,218,789,10.008704,8827.35,785.0,624,191,785.0,,214.0
2,219,789,10.008704,9195.33,749.0,743,240,749.0,,207.0
2,220,789,10.008704,8430.71,743.0,672,217,743.0,,207.0
2,223,789,10.008704,8801.87,554.0,738,229,554.0,,207.0
2,225,789,10.008704,8688.77,498.0,664,221,498.0,,207.0
2,226,789,10.008704,8933.45,417.0,745,241,417.0,,207.0
2,227,789,10.008704,8654.33,416.0,716,219,416.0,,207.0
2,207,789,10.008704,8452.16,8469.0,653,218,8469.0,,206.0
2,214,789,10.008704,8592.55,1716.0,625,203,1716.0,,210.0
2,229,789,10.008704,8422.68,388.0,598,194,388.0,,215.0
2,230,789,10.008704,9122.03,358.0,704,259,358.0,,212.0
1,112,789,10.008704,9252.86,449.0,661,305,449.0,,105.0
1,114,789,10.008704,8594.57,192.0,635,301,192.0,,105.0
2,206,789,10.008704,8355.5,9361.0,631,218,9361.0,,205.0
2,210,789,10.008704,8083.31,2735.0,601,211,2735.0,,205.0
2,212,789,10.008704,9036.4,1910.0,695,257,1910.0,,209.0
2,215,789,10.008704,8142.14,1376.0,593,213,1376.0,,205.0
2,237,789,10.008704,8602.34,195.0,687,255,195.0,,209.0
1,105,789,10.008704,8631.79,2300.0,592,303,2300.0,,104.0
1,108,789,10.008704,8537.96,1056.0,606,307,1056.0,,104.0
3,316,789,10.008704,9171.9,363.0,501,472,363.0,,307.0
2,205,789,10.008704,7792.83,15169.0,575,224,15169.0,,204.0
2,209,789,10.008704,8551.26,3771.0,646,266,3771.0,,208.0
2,221,789,10.008704,8507.62,651.0,544,204,651.0,,213.0
2,234,789,10.008704,8163.76,253.0,543,222,253.0,,213.0
2,235,789,10.008704,7870.77,252.0,567,228,252.0,,204.0
2,238,789,10.008704,8383.07,189.0,641,269,189.0,,208.0
2,239,789,10.008704,7918.32,166.0,606,265,166.0,,208.0
4,421,789,10.008704,8272.2,786.0,278,121,786.0,,416.0
1,104,789,10.008704,8041.5,4441.0,567,313,4441.0,,103.0
3,307,789,10.008704,9078.23,1643.0,529,437,1643.0,,306.0
3,317,789,10.008704,8536.11,346.0,490,419,346.0,,308.0
