ID,X,Y,Row,Col,Accumulation
M1,-6694059.846049844,6630798.401355872,221,402,112286.0
M2,-6705660.6384165855,6612890.38207129,380,299,69939.0
M3,-6715346.736897554,6588675.135868869,595,213,13132.0
M1_T1,-6707237.445146046,6602528.509277696,472,285,13949.0
M1_T2,-6705097.493156064,6599825.412027193,496,304,13404.0
M1_T3,-6698452.379081911,6627419.529792744,251,363,12882.0
M2_T1,-6707237.445146046,6602528.509277696,472,285,13949.0
M2_T2,-6705097.493156064,6599825.412027193,496,304,13404.0
M2_T3,-6701943.879697144,6598248.605297733,510,332,12285.0
M3_T1,-6715571.995001763,6587999.361556242,601,211,2735.0
M3_T2,-6717599.31793964,6585296.26430574,625,193,1531.0
M3_T3,-6713206.784907573,6577862.746866857,691,232,1135.0
