x,y,distance_from_center_m,elevation_m,station_m,segment_id
-6698771.322660068,6598304.919823785,-150.0,7638.54638671875,0.0,21_sub11
-6698763.822660068,6598304.919823785,-142.5,7638.54638671875,0.0,21_sub11
-6698756.322660068,6598304.919823785,-135.0,7638.54638671875,0.0,21_sub11
-6698748.822660068,6598304.919823785,-127.5,7638.54638671875,0.0,21_sub11
-6698741.322660068,6598304.919823785,-120.0,7638.54638671875,0.0,21_sub11
-6698733.822660068,6598304.919823785,-112.5,7638.54638671875,0.0,21_sub11
-6698726.322660068,6598304.919823785,-105.0,7638.54638671875,0.0,21_sub11
-6698718.822660068,6598304.919823785,-97.49999999999999,7638.54638671875,0.0,21_sub11
-6698711.322660068,6598304.919823785,-90.0,7638.54638671875,0.0,21_sub11
-6698703.822660068,6598304.919823785,-82.5,7638.54638671875,0.0,21_sub11
-6698696.322660068,6598304.919823785,-75.0,7638.54638671875,0.0,21_sub11
-6698688.822660068,6598304.919823785,-67.5,7638.54638671875,0.0,21_sub11
-6698681.322660068,6598304.919823785,-59.999999999999986,7638.54638671875,0.0,21_sub11
-6698673.822660068,6598304.919823785,-52.5,7644.7822265625,0.0,21_sub11
-6698666.322660068,6598304.919823785,-44.99999999999999,7644.7822265625,0.0,21_sub11
-6698658.822660068,6598304.919823785,-37.5,7644.7822265625,0.0,21_sub11
-6698651.322660068,6598304.919823785,-29.999999999999993,7644.7822265625,0.0,21_sub11
-6698643.822660068,6598304.919823785,-22.499999999999986,7644.7822265625,0.0,21_sub11
-6698636.322660068,6598304.919823785,-14.999999999999996,7644.7822265625,0.0,21_sub11
-6698628.822660068,6598304.919823785,-7.49999999999999,7644.7822265625,0.0,21_sub11
-6698621.322660068,6598304.919823785,0.0,7644.7822265625,0.0,21_sub11
-6698613.822660068,6598304.919823785,7.500000000000007,7644.7822265625,0.0,21_sub11
-6698606.322660068,6598304.919823785,15.000000000000014,7644.7822265625,0.0,21_sub11
-6698598.822660068,6598304.919823785,22.50000000000002,7644.7822265625,0.0,21_sub11
-6698591.322660068,6598304.919823785,30.00000000000003,7644.7822265625,0.0,21_sub11
-6698583.822660068,6598304.919823785,37.5,7644.7822265625,0.0,21_sub11
-6698576.322660068,6598304.919823785,45.00000000000001,7644.7822265625,0.0,21_sub11
-6698568.822660068,6598304.919823785,52.500000000000014,7644.7822265625,0.0,21_sub11
-6698561.322660068,6598304.919823785,60.00000000000002,7664.6337890625,0.0,21_sub11
-6698553.822660068,6598304.919823785,67.50000000000003,7664.6337890625,0.0,21_sub11
-6698546.322660068,6598304.919823785,75.0,7664.6337890625,0.0,21_sub11
-6698538.822660068,6598304.919823785,82.5,7664.6337890625,0.0,21_sub11
-6698531.322660068,6598304.919823785,90.00000000000001,7664.6337890625,0.0,21_sub11
-6698523.822660068,6598304.919823785,97.50000000000001,7664.6337890625,0.0,21_sub11
-6698516.322660068,6598304.919823785,105.00000000000003,7664.6337890625,0.0,21_sub11
-6698508.822660068,6598304.919823785,112.5,7664.6337890625,0.0,21_sub11
-6698501.322660068,6598304.919823785,120.0,7664.6337890625,0.0,21_sub11
-6698493.822660068,6598304.919823785,127.50000000000001,7664.6337890625,0.0,21_sub11
-6698486.322660068,6598304.919823785,135.00000000000003,7664.6337890625,0.0,21_sub11
-6698478.822660068,6598304.919823785,142.50000000000003,7664.6337890625,0.0,21_sub11
-6698471.322660068,6598304.919823785,150.0,7664.6337890625,0.0,21_sub11
-6699258.960625917,6598217.301048605,-150.0,7608.22021484375,677.7753876970934,21_sub11
-6699253.657325058,6598211.997747746,-142.5,7608.22021484375,677.7753876970934,21_sub11
-6699248.354024199,6598206.694446887,-135.0,7608.22021484375,677.7753876970934,21_sub11
-6699243.05072334,6598201.391146028,-127.5,7608.22021484375,677.7753876970934,21_sub11
-6699237.747422481,6598196.087845169,-120.0,7604.00390625,677.7753876970934,21_sub11
-6699232.4441216225,6598190.7845443105,-112.5,7604.00390625,677.7753876970934,21_sub11
-6699227.140820763,6598185.481243451,-105.0,7604.00390625,677.7753876970934,21_sub11
-6699221.837519905,6598180.177942593,-97.49999999999999,7604.00390625,677.7753876970934,21_sub11
-6699216.534219045,6598174.874641733,-90.0,7604.00390625,677.7753876970934,21_sub11
-6699211.230918187,6598169.571340875,-82.5,7604.00390625,677.7753876970934,21_sub11
-6699205.927617328,6598164.268040016,-75.0,7604.00390625,677.7753876970934,21_sub11
-6699200.624316469,6598158.964739157,-67.5,7604.00390625,677.7753876970934,21_sub11
-6699195.32101561,6598153.661438298,-59.999999999999986,7604.00390625,677.7753876970934,21_sub11
-6699190.017714751,6598148.358137439,-52.5,7604.00390625,677.7753876970934,21_sub11
-6699184.7144138925,6598143.0548365805,-44.99999999999999,7604.00390625,677.7753876970934,21_sub11
-6699179.411113033,6598137.751535721,-37.5,7604.00390625,677.7753876970934,21_sub11
-6699174.107812175,6598132.448234863,-29.999999999999993,7590.0341796875,677.7753876970934,21_sub11
-6699168.804511315,6598127.144934003,-22.499999999999986,7590.0341796875,677.7753876970934,21_sub11
-6699163.501210457,6598121.841633145,-14.999999999999996,7590.0341796875,677.7753876970934,21_sub11
-6699158.197909597,6598116.538332285,-7.49999999999999,7590.0341796875,677.7753876970934,21_sub11
-6699152.894608739,6598111.235031427,0.0,7590.0341796875,677.7753876970934,21_sub11
-6699147.59130788,6598105.931730568,7.500000000000007,7590.0341796875,677.7753876970934,21_sub11
-6699142.288007021,6598100.628429709,15.000000000000014,7590.0341796875,677.7753876970934,21_sub11
-6699136.9847061625,6598095.3251288505,22.50000000000002,7590.0341796875,677.7753876970934,21_sub11
-6699131.681405303,6598090.021827991,30.00000000000003,7590.0341796875,677.7753876970934,21_sub11
-6699126.378104445,6598084.718527133,37.5,7606.69775390625,677.7753876970934,21_sub11
-6699121.074803585,6598079.415226273,45.00000000000001,7606.69775390625,677.7753876970934,21_sub11
-6699115.771502727,6598074.111925415,52.500000000000014,7606.69775390625,677.7753876970934,21_sub11
-6699110.468201867,6598068.808624555,60.00000000000002,7606.69775390625,677.7753876970934,21_sub11
-6699105.164901009,6598063.505323697,67.50000000000003,7606.69775390625,677.7753876970934,21_sub11
-6699099.861600149,6598058.2020228375,75.0,7606.69775390625,677.7753876970934,21_sub11
