,T1,T2,T3
0,1743.544257475787,1725.2756714458483,1673.7697545961437
1,1855.0609085456886,1834.5974497068921,1778.0444144988203
2,1882.6040087737251,1862.0302332497754,1805.4688425047534
3,1803.8325496155148,1786.2884619201036,1735.1750990045439
4,1662.4751017353378,1646.3064778947826,1599.1856743625303
5,1536.335723581375,1521.4490502561753,1477.9225462300394
6,1424.2969076976342,1410.606372778374,1370.3454482443915
7,1322.8620297049679,1310.1975752531737,1272.8430261147637
8,1229.7725509070183,1218.0599143532263,1183.255435052419
9,1145.6604066395348,1134.7088327134813,1101.926645193968
10,1054.9862170927977,1044.4292164579795,1013.3060571039214
11,949.2275688078444,939.2292737331748,911.009462374056
12,904.2405731180929,895.5819871517258,869.9700717200641
13,924.4575071950511,920.4469532128057,898.9455522251915
14,896.6117737814748,895.570171904377,876.3593989846004
15,904.6536230814596,906.0973788976405,888.2722235950686
16,905.5995341205257,908.1521790826393,889.5387578876271
17,920.5177373267426,919.3335665545482,895.1958855020883
18,992.9906017662341,982.8374047942292,950.4655821730992
19,1189.024800512028,1166.4618625941828,1121.7038632261374
20,1499.8926370324978,1464.3009549065705,1406.2472501438099
21,1762.542902245577,1710.9799517131255,1637.1855672253907
22,1962.319689491451,1889.664315743356,1794.5899086007826
23,2189.847760722276,2091.3448496761707,1970.87376392117
24,2462.873395794764,2331.8164573988934,2179.340425426245
25,2705.2733802703137,2530.850823054977,2337.6689218655974
26,3002.111226633595,2782.0725601884574,2554.2431838350158
27,3381.450593197509,3118.254284304415,2858.7441730565442
28,3742.2097891417266,3441.3540842538373,3151.750991669279
29,4093.55266141305,3759.9400291382335,3440.5324299044105
30,4454.559471645065,4090.314165250842,3741.2133006799595
31,4844.268659018269,4434.734651917661,4045.26436960296
32,5381.402829917215,4906.310981561666,4460.52301694163
33,6099.272550989437,5555.178124238058,5043.314670536434
34,6937.617097043148,6325.4919866645305,5731.421130690403
35,7718.486658594213,7146.602973046781,6474.549145984104
36,8157.4274135097385,7830.758639676565,7234.580323803039
37,8328.276040953504,8194.767389133527,7874.49765032178
38,8291.55840557913,8308.472038405647,8205.620960680923
39,8096.707526798698,8229.075670797965,8295.611432768223
40,7783.926936817303,8003.251813585542,8199.865269677994
41,7378.13076337384,7668.916879071261,7963.562958104852
42,6874.868635998691,7244.006993636248,7623.390393926591
43,6313.521274669366,6717.994482433353,7197.175638789742
44,5806.5595329899015,6172.170163637656,6675.1376690304905
45,5348.610629413645,5679.194620106288,6131.7216162644345
46,4934.833621630216,5233.847232197857,5640.934246409776
47,4560.86675040871,4831.424153981121,5197.576547648914
48,4222.779996909835,4467.68714871435,4796.964144320884
49,3917.0323372820667,4138.817490106876,4434.876344021337
50,3640.4332294643054,3841.3744278003614,4107.510229532343
51,3390.107913164815,3572.257765166956,3811.439296094059
52,3163.4661454743436,3328.6741422643795,3543.5761839845104
53,2958.17403195175,3108.10665710082,3301.139100931563
54,2772.1286466998126,2908.287494684036,3081.6215690272743
55,2603.435165293704,2727.173266054368,2882.765166986085
56,2450.3862617649343,2562.922788986524,2702.53497117827
57,2311.44354547698,2413.8770686108737,2539.097428233281
58,2185.220835923223,2278.541260140543,2390.800418463604
